Target;Target_Namespace;Target_Type;Target_Method;Job_Id;Job_AnalyzeLaunchVariance;Job_EvaluateOverhead;Job_MaxAbsoluteError;Job_MaxRelativeError;Job_MinInvokeCount;Job_MinIterationTime;Job_OutlierMode;Job_Affinity;Job_EnvironmentVariables;Job_Jit;Job_Platform;Job_PowerPlanMode;Job_Runtime;Job_AllowVeryLargeObjects;Job_Concurrent;Job_CpuGroups;Job_Force;Job_HeapAffinitizeMask;Job_HeapCount;Job_NoAffinitize;Job_RetainVm;Job_Server;Job_Arguments;Job_BuildConfiguration;Job_Clock;Job_EngineFactory;Job_NuGetReferences;Job_Toolchain;Job_IsMutator;Job_InvocationCount;Job_IterationCount;Job_IterationTime;Job_LaunchCount;Job_MaxIterationCount;Job_MaxWarmupIterationCount;Job_MemoryRandomization;Job_MinIterationCount;Job_MinWarmupIterationCount;Job_RunStrategy;Job_UnrollFactor;Job_WarmupCount;Job_Display;Params;Measurement_LaunchIndex;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Nanoseconds;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;17;600;128;4.69;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;18;700;128;5.47;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;19;1000;128;7.81;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Overhead;Actual;20;700;128;5.47;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Warmup;1;587464800;128;4589568.75;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Warmup;2;569482900;128;4449085.16;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Warmup;3;574354500;128;4487144.53;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Warmup;4;561801100;128;4389071.09;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Warmup;5;574358200;128;4487173.44;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Warmup;6;568812100;128;4443844.53;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Actual;1;568629300;128;4442416.41;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Actual;2;562813500;128;4396980.47;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Actual;3;574249900;128;4486327.34;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Actual;4;573255400;128;4478557.81;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Actual;5;563991300;128;4406182.03;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Actual;6;568148300;128;4438658.59;5;0;0;16712
BenchmarkTest.ParallelTest;BitonicSort;BenchmarkTest;ParallelTest;Job-VPYSSH;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Throughput;Default;Default;Job-VPYSSH(RunStrategy=Throughput);N=32768;1;Workload;Actual;7;566820500;128;4428285.16;5;0;0;16712
